code,question,question_type,standard_answer,importance_score,occurrence_count
,固定长度切分、语义切分和结构化切分有什么区别？,RAG 检索增强生成,固定长度切分按字符数或 Token 数硬切，实现简单、成本低，适合原型验证或语料结构非常规整的场景，但容易切断标题、表格和上下文。语义切分按句子、段落、主题边界切，语义完整性更好，但实现和评测成本更高。结构化切分利用 Markdown 标题、目录、表格、代码块、章节层级等文档结构，最适合企业知识库；实践中通常结构化优先、语义辅助，再用 overlap 兜住边界信息。,89.3,38
,Embedding 在 RAG 中的作用是什么？,RAG 检索增强生成,Embedding 在 RAG 中的作用是把用户问题和知识库文本转换成向量表示，使系统可以通过向量相似度找到语义相关的内容。它解决的是“用户问法”和“文档写法”不完全一致的问题，例如用户问“怎么报销”，文档中写的是“费用报销流程”，仍然可以被召回。Embedding 主要负责语义召回，但对编号、专有名词、时间、权限等精确条件并不总是稳定，因此生产 RAG 通常会结合 BM25、元数据过滤和 Rerank 一起使用。,87.7,37
,如何选择 Embedding 模型？,RAG 检索增强生成,选择 Embedding 模型时，首先要看业务语料和用户问题的语言、领域以及文本长度，例如中文、代码、法律或金融场景的效果差异会很明显。其次要评估向量维度、最大输入长度、吞吐、成本、部署方式以及和向量库距离函数的匹配情况。最终不应只看公开榜单，而要用自己的业务评测集测试 Recall、MRR、Context Precision 和线上延迟；如果更换 Embedding 模型，通常需要重建向量索引并重新校准相似度阈值。,87.7,37
,向量库中一条知识 Chunk 通常要保存哪些字段？,RAG 检索增强生成,一条知识 Chunk 通常不只保存文本和向量，还应该保存 chunk_id、doc_id、原文内容、标题路径、页码或段落号、来源 URL、文档版本、更新时间、租户 ID、权限标签、文档类型和删除状态。这样做的价值是检索时可以做权限过滤和版本过滤，生成答案时可以返回引用，文档更新时也能准确定位需要重建的 Chunk。对于企业知识库，还可以额外保存摘要、关键词和业务标签，用于混合检索和结果解释。,86.1,36
,Top-K 应该设置多大？过大或过小有什么问题？,RAG 检索增强生成,Top-K 决定从检索器返回多少候选进入后续 Rerank 或生成。K 太小容易漏掉关键证据，导致答案无依据；K 太大则会引入噪声、增加 Rerank 延迟和 Prompt 成本，甚至干扰模型判断。常见做法是召回阶段取相对较大的 K 保证覆盖，再经过去重和 Rerank 只保留少量高质量证据进入上下文，最终取值应通过召回率、引用准确率、延迟和成本评测确定。,84.5,35
,用户问题进入 RAG 后完整查询流程是什么？,RAG 检索增强生成,用户问题进入 RAG 后，通常先做安全检查、意图识别和多轮上下文补全，把省略或指代问题改写成独立查询。然后根据用户身份、业务场景和问题意图选择知识库，并执行权限过滤、向量检索、关键词检索或混合检索。召回候选内容后，需要做去重、Rerank、上下文压缩和 Token 截断，再把证据、引用要求和拒答规则拼入 Prompt 交给模型生成答案。最后记录 Trace、召回结果、模型版本、Token、耗时和用户反馈，用于后续排查和优化。,84.5,35
,score_threshold 应该如何设置？,RAG 检索增强生成,score_threshold 用于过滤相似度过低的候选，但不能直接套用固定经验值。不同 Embedding 模型、归一化方式、距离函数和语料分布会导致分数含义不同，因此阈值应通过标注集或 Golden Set 校准。实践中要同时观察低阈值带来的噪声、高阈值带来的空召回，并为低置信度或空召回设计拒答、补充问题或扩大检索范围的兜底策略。,82.9,34
,BM25 和向量检索如何融合？,RAG 检索增强生成,BM25 和向量检索通常采用多路召回再融合的方式。BM25 擅长处理关键词、编号、专有名词和精确匹配，向量检索擅长处理同义表达和语义相似问题。工程上可以先让两路分别召回候选文档，再用 RRF 或归一化加权合并结果，最后交给 Rerank 做精排。融合时需要注意去重、权限过滤和分数不可比问题，避免某一路召回结果过度主导排序。,81.3,33
,Hybrid Search 为什么常用于 RAG？,RAG 检索增强生成,Hybrid Search 常用于 RAG，是因为真实用户问题既包含语义表达，也包含关键词和专有名词。纯向量检索容易漏掉编号、型号、人名等精确匹配内容，纯关键词检索又不擅长处理口语化和同义表达。混合检索通常把 BM25、稀疏检索和向量检索结合起来，再通过 RRF 或 Rerank 统一排序，从而提升召回覆盖面和排序准确性。,81.3,33
,RRF 是什么，为什么适合多路召回融合？,RAG 检索增强生成,RRF（Reciprocal Rank Fusion）是一种按排名融合多路召回结果的方法，通常把每路结果的排名倒数累加成最终分数。它不依赖 BM25、向量检索、SPLADE 等不同检索器的原始分数可比性，因此很适合混合检索和 Multi-Query 场景。RRF 的优势是简单、鲁棒、调参少；缺点是只看排名不看绝对相关性，后面通常还要接 Rerank。,79.7,32
,Rerank 在 RAG 中解决什么问题？,RAG 检索增强生成,Rerank 解决的是“召回到了候选内容，但排序不够准”的问题。向量检索通常速度快但相关性判断较粗，Rerank 会把用户问题和候选文本一起输入更强的排序模型，重新判断每段证据是否真正能回答问题。生产中常见做法是先召回较多候选，例如 Top 20 或 Top 50，再用 Rerank 精排，只保留少量高质量证据进入 Prompt，以平衡质量、延迟和成本。,79.7,32
,Cross-Encoder Rerank 和 Embedding 相似度排序有什么区别？,RAG 检索增强生成,Embedding 把文本映射到向量空间，使语义相近的内容距离更近。选择模型要看语言、领域、维度、吞吐、成本、最大输入长度和与向量库索引的兼容性，换模型通常需要重建向量。Rerank 用更强但更慢的模型对 query-document 相关性重新排序。它解决向量召回粗糙、关键词噪声和多路召回分数不可比问题，常放在召回之后、生成之前。Rerank 是在粗召回之后做精排，通常能明显提升证据相关性，但会增加延迟。,78.1,31
,HyDE 检索是什么，适合什么场景？,RAG 检索增强生成,HyDE（Hypothetical Document Embeddings）会先让模型根据用户问题生成一个假想答案或假想文档，再用这段更完整的文本去做向量检索。它适合用户问题很短、关键词缺失、表达口语化但语义明确的场景，可以提升语义召回覆盖。风险是假想内容可能带偏检索方向，因此通常要控制生成长度，并配合原始 Query、多路召回和 Rerank 使用。,76.5,30
,Query Rewrite 在 RAG 中有什么价值？,RAG 检索增强生成,Query Rewrite 的价值是把用户的口语化、多轮指代或不完整问题改写成适合检索的独立查询。例如用户问“这个怎么申请”，系统需要结合上下文改写成“远程办公申请流程是什么”。好的 Query Rewrite 应保留用户意图、实体、时间、权限和限制条件，不能改变原问题含义。线上还应记录改写前后的 Query，便于排查召回失败和问题理解偏差。,76.5,30
,Multi-Query Retrieval 如何提高召回？,RAG 检索增强生成,Multi-Query Retrieval 会让模型从不同角度改写用户问题，生成多个检索 Query，再合并召回结果，从而提升召回覆盖面。它适合用户问题很短、表达不充分、存在多种问法或需要从流程、条件、材料、风险等角度检索的场景。缺点是会增加模型调用和检索成本，并可能召回重复或偏题内容，因此需要去重、RRF/加权融合、Rerank 和最大候选数控制。,74.9,29
,Step-back Prompting 如何用于 RAG 检索？,RAG 检索增强生成,Step-back Prompting 会先把具体问题抽象成更高层、更通用的问题，再用抽象问题检索背景原则或规则。例如用户问“某个报销单是否能走绿色通道”，可以先检索“绿色通道适用条件和限制”。它适合问题过窄、概念不清或需要先理解上位规则的场景；实际落地时通常同时保留原始 Query 和 step-back Query，避免过度抽象导致偏离用户真实意图。,73.3,28
,上下文压缩 Contextual Compression 解决什么问题？,RAG 检索增强生成,Contextual Compression 的目标是在召回后、生成前，把候选文档压缩成与问题最相关的证据片段，去掉无关段落、重复内容和噪声。它可以降低 Token 成本、减少模型注意力干扰，并提升答案忠实度。风险是压缩器可能误删关键条件、例外条款或表格字段，因此要用 Context Recall、Faithfulness、引用准确率和答案完整性评测压缩前后的变化。,73.3,28
,MMR 检索是什么，如何减少结果重复？,RAG 检索增强生成,MMR（Maximal Marginal Relevance）是在“与查询相关”和“与已选结果不重复”之间做折中。它先选择最相关的候选，再逐步加入既相关又能补充新信息的 Chunk，从而避免 Top-K 被同一段落、同一 FAQ 或高度相似的政策条款占满。MMR 适合候选内容重复度高的知识库，但多样性权重过高会牺牲相关性，因此需要结合 Rerank 和业务评测调参。,71.8,27
,元数据过滤 Metadata Filtering 在 RAG 中如何使用？,RAG 检索增强生成,元数据过滤是在 RAG 检索中利用租户、部门、角色、时间、文档类型、产品线、版本、权限标签等结构化字段缩小检索范围。权限类元数据应在召回前由服务端根据用户身份强制注入过滤条件，不能依赖模型或前端传参；业务类元数据可用于限定时间、文档类型或产品版本，减少噪声。需要注意过滤条件过强可能导致召回不足，因此要结合空召回兜底、过滤日志和评测集持续校准。,71.8,27
,多租户 RAG 如何做权限隔离？,RAG 检索增强生成,多租户要隔离索引、权限、密钥、日志和配额。可选择每租户 collection、共享 collection 加 tenant_id 过滤，或混合方案；关键是服务端强制过滤，不能仅靠 Prompt 约束。Agent 权限模型要遵循最小权限、按用户授权、按工具作用域限制、敏感动作审批和审计日志。模型不能绕过服务端权限校验。,70.2,26
,RAG 如何实现答案引用和可追溯？,RAG 检索增强生成,RAG 的引用和可追溯需要从索引阶段开始设计。每个 Chunk 应保存文档 ID、标题、页码、段落号、URL、版本、更新时间和权限标签；生成时 Prompt 要要求模型只基于给定证据回答，并在关键结论后标注引用编号。后端还应校验引用 ID 是否存在，以及引用内容是否真正支持对应结论。这样用户不仅能看到答案，还能追溯答案来自哪份文档、哪个版本和哪一段内容。,68.6,25
,如何降低 RAG 幻觉？,RAG 检索增强生成,降低 RAG 幻觉需要从召回、生成和校验三层处理。召回层要提高证据相关性，避免把噪声放入上下文；生成层要明确要求模型只基于证据回答，没有证据就拒答或说明不确定；校验层可以做引用一致性检查、事实核验或 LLM-as-Judge 评估。线上还应把幻觉案例回流到评测集，用于优化 Chunk、检索参数、Rerank 和 Prompt。,68.6,25
,检索不到资料时 RAG 应该如何兜底？,RAG 检索增强生成,检索不到资料时，RAG 应明确进入低置信度或空召回分支，而不是让模型自由发挥。标准兜底包括：说明当前知识库没有可靠依据、请求用户补充关键词或范围、扩大检索条件、切换知识库、推荐人工渠道或创建知识缺口工单。同时要记录原 Query、改写 Query、过滤条件、权限条件和空召回结果，用于后续补文档、调阈值和优化检索策略。,67.0,24
,知识库更新后如何保证 RAG 使用最新内容？,RAG 检索增强生成,要保证 RAG 使用最新内容，需要在文档和 Chunk 层面维护版本号、更新时间、生效状态和删除标记。文档新增、修改或删除时，索引系统应触发增量更新，只重建受影响的 Chunk，并让检索默认过滤过期版本。引用返回时也应展示来源版本和更新时间。对于强实时数据，不能只依赖离线索引，可以在生成前调用实时工具或业务接口，并缩短缓存时间。,67.0,24
,增量索引如何设计？,RAG 检索增强生成,增量索引的核心是只处理新增、修改、删除的文档或 Chunk，避免每次全量重建。工程上需要稳定的 doc_id、chunk_id、版本号、内容哈希和删除状态；文档变更后只重新解析、切分、向量化受影响部分，并保证原文、向量和元数据版本一致。还要支持异步任务状态、失败重试、软删除、双写/双索引灰度和回滚，防止线上查询读到新旧混杂内容。,65.4,23
,RAG 中如何做文档版本管理？,RAG 检索增强生成,RAG 的文档版本管理要解决三个问题：当前检索使用哪个版本，历史版本是否可追溯，某个版本什么时候生效或失效。实现上可以给文档和 Chunk 都增加 version、status、effective_time、expired_time 等字段，检索时默认只查生效版本。对于制度、合同、政策等场景，历史版本不能直接删除，因为用户可能会问某个时间点适用的规则。版本管理还要和引用、缓存和增量索引联动。,63.8,22
,RAG 知识库如何做文档去重和 Chunk 去重？,RAG 检索增强生成,文档去重通常先做文件哈希、URL、标题、作者、更新时间等元数据比对，识别完全重复或近似重复文档。Chunk 去重可以使用 SimHash、MinHash、文本相似度或向量近邻判断相似段落，减少重复召回和上下文浪费。需要注意的是，去重不能误删不同版本、不同权限或不同适用范围的内容，因此版本号、租户、权限标签和生效时间必须参与判断。,63.8,22
,多知识库场景下如何做知识库路由？,RAG 检索增强生成,多知识库路由可以先根据用户身份、权限、业务线、问题意图和关键词选择候选知识库。简单场景可以用规则，例如 HR 问题走制度库，研发问题走技术文档库；复杂场景可以用分类模型或 Router Agent 做动态选择。为了避免路由错误导致无答案，生产系统通常会保留兜底策略，例如多库并行召回后统一 Rerank，或者在低置信度时扩大检索范围。,62.2,21
,GraphRAG 解决什么问题？,RAG 检索增强生成,GraphRAG 主要解决普通向量检索难以处理的跨文档关联和全局关系问题。它会抽取实体、关系、事件或社区摘要，让系统能够回答“某些对象之间有什么关系”“多个部门政策如何相互影响”“整体趋势是什么”这类问题。代价是构图、实体消歧、关系更新和图谱质量维护更复杂，所以更适合关系密集、跨文档推理价值高的场景，而不是所有 RAG 都必须上图。,60.6,20
,Parent-Child Retrieval 是什么？,RAG 检索增强生成,Parent-Child Retrieval 是一种兼顾召回精度和上下文完整性的检索策略：用较小的 child chunk 建向量并参与检索，以提高命中精度；命中后返回其所属的 parent 段落、章节或文档片段给模型，以补足上下文。它适合长文档、制度条款和技术文档，但 parent 不能过大，否则会重新引入噪声和 Token 成本。,60.6,20
,Agentic RAG 和普通 RAG 有什么区别？,RAG 检索增强生成,普通 RAG 通常是固定链路：Query Rewrite、检索、Rerank、生成；Agentic RAG 则让 Agent 根据任务状态动态决定是否检索、查哪个知识库、是否多轮检索、是否调用业务工具验证以及证据是否足够。它适合多跳问题、需要结合用户状态或外部系统判断的问题。代价是成本、延迟和不确定性更高，因此必须限制工具权限、循环轮数和 Token 预算，并保留完整 Trace。,59.0,19
,Multi-Vector Retrieval 是什么？,RAG 检索增强生成,Multi-Vector Retrieval 是为同一文档或对象建立多个向量入口，例如标题向量、摘要向量、段落向量、问题向量、表格向量或图片说明向量。它能解决长文档、多主题文档用单一向量表达不充分的问题。检索时任意向量命中都可以映射回同一个文档或父 Chunk，但需要做结果归并、去重和权重控制，避免同一文档重复占满上下文。,59.0,19
,长上下文模型出现后还需要 RAG 吗？,RAG 检索增强生成,长上下文模型不能完全替代 RAG。长上下文解决的是单次请求可放入更多 Token，但企业知识库仍需要权限过滤、增量更新、引用追溯、版本控制、成本控制和检索效率；每次把全量知识塞入上下文既昂贵又不安全。更合理的方式是用 RAG 先筛选用户有权限、最相关、最新的证据，再利用长上下文模型做跨证据综合、推理和生成。,57.4,18
,Context Precision 和 Context Recall 分别衡量什么？,RAG 检索增强生成,Context Precision 衡量检索结果中排在前面的上下文是否真正相关，关注噪声问题；Context Recall 衡量应该被召回的关键信息是否被找全，关注漏召回问题。Precision 高但 Recall 低会导致答案不完整，Recall 高但 Precision 低会让模型被噪声干扰。RAG 调优时应同时观察这两个指标，并结合 Faithfulness 和 Answer Relevancy 判断最终效果。,55.8,17
,RAG 常用评测指标有哪些？,RAG 检索增强生成,RAG 评测通常分为检索指标、生成指标和工程指标。检索侧关注 Recall、Precision、MRR、NDCG、Context Precision 和 Context Recall；生成侧关注 Faithfulness、Answer Relevancy、Citation Accuracy、拒答准确率和人工满意度；工程侧关注 P95 延迟、Token 成本、缓存命中率和错误率。分层评测可以定位问题到底出在文档处理、召回、排序还是生成阶段。,55.8,17
,Faithfulness 和 Answer Relevancy 分别衡量什么？,RAG 检索增强生成,Faithfulness 衡量答案中的结论是否被给定上下文或引用证据支持，重点发现无依据编造、引用不支撑结论等问题。Answer Relevancy 衡量答案是否真正回答了用户问题，重点发现答非所问、遗漏关键子问题或过度展开。一个答案可能相关但不忠实，也可能忠实于证据却没有回答问题，所以 RAG 评测通常要同时看 Faithfulness、Answer Relevancy 和 Citation Accuracy。,54.3,16
,RAG 线上反馈闭环如何设计？,RAG 检索增强生成,RAG 线上反馈闭环应把用户反馈和当时的完整链路绑定，包括用户问题、改写 Query、召回结果、Rerank 排序、最终上下文、答案、引用、模型版本、Prompt 版本和检索参数。负反馈样本要先归因：知识缺失、解析错误、召回失败、排序问题、权限过滤、Prompt 问题还是模型生成问题。修复后把案例加入分阶段评测集并做回归，形成“发现-归因-修复-验证”的闭环。,52.7,15
,如何构建 RAG 离线 Golden Set？,RAG 检索增强生成,RAG 离线 Golden Set 应包含标准问题、标准答案、相关证据、可接受答案范围和评分规则。样本应覆盖高频问题、长尾问题、多跳问题、权限问题、空召回问题和容易混淆的问题。Golden Set 不需要一开始很大，但必须高质量、可版本化；每次调整文档切分、Embedding、Rerank、Prompt 或模型时都应重新跑评测，观察召回、忠实度、引用和成本是否退化。,52.7,15
,RAG 中如何控制 Token 预算？,RAG 检索增强生成,RAG 的 Token 预算主要消耗在系统提示词、历史对话、检索证据、工具 schema 和模型输出上。控制方式包括限制历史窗口、对历史对话做摘要、控制召回 Top-K、使用 Rerank 后只保留少量高质量证据、对长文档做上下文压缩，并按任务类型设置最大输出长度。需要注意的是，不能为了省 Token 盲目截断关键证据，否则会降低答案完整性和忠实度；合理做法是按相关性和证据价值排序后再裁剪。,51.1,14
,RAG 响应延迟应该从哪些环节优化？,RAG 检索增强生成,RAG 响应延迟应拆成问题改写、检索召回、Rerank、上下文拼装、模型首 token 和生成完成几个阶段分别分析。优化方式包括并行多路召回、缓存 Query Embedding 和热门检索结果、减少 Rerank 候选数量、压缩上下文、复用连接、模型预热和流式输出。优化时应先通过 Trace 找到瓶颈，再针对性处理，不能盲目减少 Top-K 或直接换小模型，否则可能牺牲答案质量。,51.1,14
,AI Agent 和普通 LLM 调用的本质区别是什么？,AI Agent 设计与多智能体,普通 LLM 调用通常是一次请求对应一次回答，核心是文本生成；AI Agent 则围绕目标进行多步决策，会维护状态、选择工具、观察工具结果并决定下一步。它的本质差异不是“用了更强模型”，而是应用层引入了循环执行、工具调用、记忆、状态管理和终止条件。生产中评价 Agent 时，应重点看任务完成率、工具调用准确率、权限控制和失败恢复能力。,97.8,43
,Agent Loop 是什么？,AI Agent 设计与多智能体,Agent Loop 是 Agent 反复执行“观察输入或状态、判断下一步、调用工具或生成内容、读取结果、更新状态、判断是否结束”的循环。它让 Agent 能处理路径不固定的任务，但也带来无限循环、重复调用工具、上下文膨胀和成本失控风险。工程上必须设置最大轮数、最大 Token、失败重试上限、终止条件和 Trace 记录，不能只依赖 Prompt 让模型自己停止。,96.2,42
,一个 Agent 的基本架构包括哪些模块？,AI Agent 设计与多智能体,一个 Agent 通常包含模型层、规划/决策层、工具层、执行器、状态管理、记忆系统、结果校验器和可观测模块。模型负责理解与决策建议，工具层负责连接外部系统，状态管理记录目标、计划、已完成步骤和中间结果，校验器负责判断是否满足验收标准。生产级 Agent 还必须补上权限控制、幂等、超时、重试、人工审批和审计日志，否则很难安全上线。,96.2,42
,ReAct 模式是什么？,AI Agent 设计与多智能体,ReAct 是 Reasoning + Acting 的思路，即让模型在多步任务中交替进行思考、行动和观察：先根据当前目标判断要做什么，再调用工具，拿到观察结果后继续下一步。它适合路径不固定、需要边查边判断的任务，例如检索资料、排障、数据查询和多轮工具协作。工程落地时不要无限开放 ReAct 循环，应限制工具范围、最大步数和重试次数，并记录每一步 Trace。,94.6,41
,Workflow、Agent 和 Tool Calling 有什么区别？,AI Agent 设计与多智能体,Workflow 是开发者预先定义好的确定流程，适合审批、抽取、固定问答链路等路径稳定的任务；Agent 是由模型根据目标和状态动态决定下一步，适合开放、多分支、信息不完整的任务；Tool Calling 是模型请求外部能力的一种机制，本身不等于 Agent。选型原则是：能用确定流程解决就优先用 Workflow，只有路径不确定、工具选择依赖上下文时才引入 Agent。,94.6,41
,Plan-and-Execute 模式是什么？,AI Agent 设计与多智能体,Plan-and-Execute 是先生成整体计划，再按步骤执行和校验的 Agent 模式。它适合长任务、多工具协作和需要展示进度的场景，优点是结构清晰、便于中断恢复和人工检查。风险是初始计划可能因新信息而过时，所以执行过程中要允许重规划，并为每一步定义输入、输出、可用工具、完成标准、失败处理和最大重试次数。,93.0,40
,ReAct、Plan-and-Execute、Reflection 如何选型？,AI Agent 设计与多智能体,ReAct 适合步骤不确定、需要边查边做的探索型任务；Plan-and-Execute 适合步骤较多、需要先拆解并展示进度的任务；Reflection 适合在关键节点做自检、纠错和结果复核。三者不是互斥关系，复杂系统常用 Plan-and-Execute 管主流程，在执行步骤中使用 ReAct 调工具，再用 Reflection 检查关键输出。选型时要同时考虑任务复杂度、可控性、成本和延迟。,91.4,39
,Reflection 反思机制有什么作用？,AI Agent 设计与多智能体,Reflection 机制让 Agent 在执行后根据目标、约束和验收标准检查自己的输出，发现遗漏、矛盾或工具使用错误后再修正。它可以提升复杂任务的成功率，尤其适合报告生成、代码修改、信息抽取和多工具结果汇总。缺点是会增加 Token、延迟和可能的自我强化错误，因此应放在关键节点，并设置最大反思次数和明确评分标准。,91.4,39
,Agent 的规划能力如何工程化实现？,AI Agent 设计与多智能体,Agent 的规划能力工程化实现，关键是把“目标、约束、可用工具、最大步数、预算和验收标准”结构化，而不是只写一句 Prompt。执行时先生成计划，再按步骤推进，每步完成后更新状态并检查是否偏离目标；当工具结果与计划不一致时触发重规划。生产系统还应记录计划版本、步骤状态和失败原因，方便回放、恢复和评测。,89.9,38
,复杂任务如何拆分给 Agent 执行？,AI Agent 设计与多智能体,复杂任务拆分要从最终目标和验收标准开始，而不是让 Agent 随意拆。每个子任务应具备明确输入、输出、可用工具、完成条件和失败处理，例如检索资料、抽取字段、调用业务系统、汇总结论、质量复核。粒度过粗不利于定位失败，过细会增加调用成本和状态管理复杂度；实践中应优先拆成可独立验证、可重试、低副作用的步骤。,89.9,38
,Agent 如何选择合适的工具？,AI Agent 设计与多智能体,Agent 选择工具应综合用户意图、当前状态、工具描述、参数 schema、权限范围和风险等级。工具描述要写清适用场景、禁用场景、输入输出、限制条件和典型错误；系统侧应先按用户、租户、业务场景筛出候选工具，再让模型在小集合中选择。最终执行前仍要做服务端鉴权、参数校验和高风险审批，不能把模型选择等同于授权。,88.3,37
,Agent 的短期记忆如何设计？,AI Agent 设计与多智能体,短期记忆保存当前任务所需的工作状态，包括用户目标、最近对话、已完成步骤、待办事项、工具返回结果、临时变量和当前约束。它不应简单等同于完整聊天历史，更适合用结构化 state 加最近消息窗口管理，必要时对长工具结果做摘要。这样既能降低 Token 成本，也能避免过期或无关历史干扰 Agent 的下一步决策。,86.7,36
,工具参数生成错误时 Agent 应该如何纠错？,AI Agent 设计与多智能体,工具参数生成错误时，应先用 JSON Schema、业务规则和权限规则做服务端校验，明确区分缺字段、类型错误、枚举越界、资源不存在和权限不足。可修复错误可以把结构化错误反馈给模型，让它只修正参数；不可恢复错误应提示用户补充信息、授权或转人工。重试必须有次数上限和幂等保护，避免 Agent 在同一错误上循环调用。,86.7,36
,Agent 的长期记忆如何设计？,AI Agent 设计与多智能体,长期记忆保存跨会话仍有价值的信息，例如用户偏好、常用项目、稳定身份信息、历史任务结论和业务上下文。写入长期记忆前要做用户授权、价值判断、脱敏、来源记录、时间戳和置信度标记；读取时只召回与当前任务相关且未过期的记忆。长期记忆还必须支持查看、修改、删除和过期策略，否则会带来隐私、误召回和旧信息污染风险。,85.1,35
,Agent 记忆压缩如何做？,AI Agent 设计与多智能体,记忆压缩的目标是把长对话、工具结果和执行轨迹压成可继续决策的结构化状态。压缩时应保留用户目标、关键事实、明确约束、已完成步骤、未完成事项、重要工具结果、来源和时间；删除寒暄、重复内容和无关细节。压缩结果最好可校验、可追溯，并在关键事实变化时更新，避免一句泛泛摘要导致 Agent 丢失约束或沿用过期信息。,85.1,35
,向量记忆会带来哪些风险？,AI Agent 设计与多智能体,向量记忆的主要风险是隐私泄露、过期信息、误召回和不可解释。用户一次性提供的信息可能被长期保存，之后在不合适场景被召回；旧偏好或旧项目状态也可能误导模型。防护上应在写入前做分类、授权和脱敏，给记忆加用户、来源、时间、用途、置信度和过期时间；读取时按任务和权限限制范围，并提供查看、纠错和删除机制。,83.5,34
